Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value			
Afterimage_Contrast	34	[12.  0.]	6	12	0.257922423	4.514914148			
Afterimage_Contrast	35	[-12.   0.]	4	12	[]	[]			
Afterimage_Contrast	36	[-12.   0.]	5	12	[]	[]			
Afterimage_Contrast	37	[12.  0.]	6	10	0.307518567	5.049237728			
Afterimage_Contrast	38	[12.  0.]	5	12	0.289639334	5.033041838			
Afterimage_Contrast	39	[12.  0.]	5	12	[]	[]			
Afterimage_Contrast	40	[12.  0.]	5	12	[]	[]			
Afterimage_Contrast	41	[12.  0.]	6	12	2.822251097	3.799343285			
Afterimage_Contrast	42	[12.  0.]	6	12	0.205770306	4.515981144			
Afterimage_Contrast	43	[12.  0.]	5	12	2.555555907	3.949152836			
Afterimage_Contrast	44	[-12.   0.]	4	12	[]	[]			
Afterimage_Contrast	45	[-12.   0.]	4	12	[]	[]			
Afterimage_Contrast	46	[-12.   0.]	4	12	1.824044293	5.132349433			
Afterimage_Contrast	47	[-12.   0.]	4	12	1.723594193	4.182397711			
Afterimage_Contrast	48	[12.  0.]	6	12	[]	[]			
Afterimage_Contrast	49	[-12.   0.]	4	10	[]	[]			
Afterimage_Contrast	50	[-12.   0.]	5	10	0.355894557	4.015741867			
Afterimage_Contrast	51	[12.  0.]	6	11	[]	[]			
Afterimage_Contrast	52	[12.  0.]	4	12	0.273872922	4.065911181			
Afterimage_Contrast	53	[-12.   0.]	6	11	[]	[]			
Afterimage_Contrast	54	[12.  0.]	4	11	[]	[]			
Afterimage_Contrast	55	[-12.   0.]	5	10	0.308599343	4.998810969			
Afterimage_Contrast	56	[-12.   0.]	6	11	2.219576023	2.082051328			
Afterimage_Contrast	57	[12.  0.]	5	11	[]	[]			
Afterimage_Contrast	58	[-12.   0.]	4	12	2.322115516	6.849464859			
Afterimage_Contrast	59	[12.  0.]	5	12	0.288955345	3.899027914			
Afterimage_Contrast	60	[-12.   0.]	6	10	[]	[]			
Task_Type	Trial_Number	Trial_Condition	Afterimage_Present	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Question_Response		
Afterimage_matching	1	2	1	"[12, 0]"	6	12	2		
