Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value			
Afterimage_Contrast	31	[-12.   0.]	7	11	0.925700862	7.201729389			
Afterimage_Contrast	32	[-12.   0.]	6	11	1.790943799	6.949159153			
Afterimage_Contrast	33	[-12.   0.]	8	11	1.343182536	7.649541484			
Afterimage_Contrast	34	[12.  0.]	8	10	2.157397208	6.21832797			
Afterimage_Contrast	35	[-12.   0.]	8	12	1.190845914	7.451485011			
Afterimage_Contrast	36	[12.  0.]	7	11	2.507846332	6.116301278			
Afterimage_Contrast	37	[12.  0.]	7	10	1.65944158	5.83247004			
Afterimage_Contrast	38	[-12.   0.]	8	12	1.040899741	9.531893581			
Afterimage_Contrast	39	[-12.   0.]	6	12	1.290985677	7.799459099			
Afterimage_Contrast	40	[-12.   0.]	8	12	1.076131458	6.815345024			
Afterimage_Contrast	41	[12.  0.]	8	10	0.79122618	8.115160513			
Afterimage_Contrast	42	[12.  0.]	6	12	1.692346381	5.515871383			
Afterimage_Contrast	43	[12.  0.]	7	12	1.891059846	6.182370408			
Afterimage_Contrast	44	[-12.   0.]	6	12	1.640143653	6.998732198			
Afterimage_Contrast	45	[-12.   0.]	6	12	1.424408565	7.348292876			
Afterimage_Contrast	46	[12.  0.]	8	10	1.641865655	7.068372864			
Afterimage_Contrast	47	[-12.   0.]	7	10	1.307374935	7.551333013			
Afterimage_Contrast	48	[-12.   0.]	7	10	1.142793151	7.634608383			
Afterimage_Contrast	49	[12.  0.]	6	12	1.574936803	7.182532904			
Afterimage_Contrast	50	[12.  0.]	8	11	1.37558533	7.31834043			
Afterimage_Contrast	51	[12.  0.]	8	10	1.657897308	7.368246486			
Afterimage_Contrast	52	[-12.   0.]	7	12	1.391069619	8.834794936			
Afterimage_Contrast	53	[12.  0.]	8	11	1.591501816	7.999029159			
Afterimage_Contrast	54	[-12.   0.]	7	10	1.408316072	6.349301835			
Afterimage_Contrast	55	[-12.   0.]	6	12	1.509276002	9.950999647			
Afterimage_Contrast	56	[12.  0.]	8	11	1.540321946	6.349407903			
Afterimage_Contrast	57	[12.  0.]	8	12	1.54270603	6.415021267			
Afterimage_Contrast	58	[12.  0.]	7	11	1.258946634	8.531817498			
Afterimage_Contrast	59	[-12.   0.]	8	10	1.123768985	6.264986475			
Afterimage_Contrast	60	[-12.   0.]	6	10	1.472412337	7.736341422			
Task_Type	Trial_Number	Trial_Condition	Afterimage_Present	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Question_Response		
Afterimage_Matching	1	1	0	"[12, 0]"	6	12	2		
Afterimage_Matching	2	1	1	"[-12, 0]"	7	11	3		
Afterimage_Matching	3	4	0	"[12, 0]"	8	11	4		
