Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value			
Afterimage_Matching	4	4	0	"[-12, 0]"	7	10	4		
Afterimage_Matching	5	1	1	"[-12, 0]"	6	10	3		
Afterimage_Matching	6	1	1	"[-12, 0]"	6	12	3		
Afterimage_Matching	7	1	0	"[-12, 0]"	6	11	1		
Afterimage_Matching	8	1	1	"[12, 0]"	6	12	3		
Afterimage_Matching	9	1	1	"[12, 0]"	8	10	3		
Afterimage_Matching	10	1	0	"[12, 0]"	6	12	2		
Afterimage_Matching	11	4	0	"[-12, 0]"	8	12	4		
Afterimage_Matching	12	4	0	"[-12, 0]"	6	12	4		
Afterimage_Matching	13	1	0	"[12, 0]"	6	10	2		
Afterimage_Matching	14	1	1	"[12, 0]"	6	11	3		
Afterimage_Matching	15	1	0	"[-12, 0]"	8	10	1		
Afterimage_Matching	16	1	0	"[12, 0]"	6	12	2		
Afterimage_Matching	17	1	0	"[-12, 0]"	7	12	1		
Afterimage_Matching	18	1	1	"[12, 0]"	7	12	3		
Afterimage_Matching	19	1	1	"[12, 0]"	8	11	3		
Afterimage_Matching	20	4	0	"[12, 0]"	7	11	4		
Afterimage_Matching	21	1	1	"[12, 0]"	6	12	3		
Afterimage_Matching	22	4	0	"[12, 0]"	6	10	4		
Afterimage_Matching	23	4	0	"[-12, 0]"	7	10	4		
Afterimage_Matching	24	4	0	"[-12, 0]"	8	12	4		
Afterimage_Matching	25	4	0	"[12, 0]"	6	12	4		
Afterimage_Matching	26	1	0	"[12, 0]"	7	11	2		
Afterimage_Matching	27	1	0	"[-12, 0]"	8	11	1		
Afterimage_Matching	28	4	0	"[-12, 0]"	7	11	4		
Afterimage_Matching	29	1	1	"[12, 0]"	6	10	3		
Afterimage_Matching	30	1	1	"[-12, 0]"	7	10	3		
Afterimage_Matching	31	1	1	"[-12, 0]"	8	11	3		
Afterimage_Matching	32	1	0	"[12, 0]"	8	11	2		
Afterimage_Matching	33	4	0	"[12, 0]"	7	12	4		
Afterimage_Matching	34	4	0	"[12, 0]"	8	11	4		
Afterimage_Matching	35	1	1	"[-12, 0]"	7	12	3		
Afterimage_Matching	36	4	0	"[-12, 0]"	6	10	4		
Afterimage_Matching	37	1	1	"[-12, 0]"	6	10	3		
Afterimage_Matching	38	1	1	"[-12, 0]"	7	10	3		
Afterimage_Matching	39	4	0	"[12, 0]"	8	10	4		
Afterimage_Matching	40	1	0	"[12, 0]"	8	11	2		
Afterimage_Matching	41	1	0	"[12, 0]"	8	12	2		
Afterimage_Matching	42	1	1	"[12, 0]"	7	12	3		
Afterimage_Matching	43	4	0	"[12, 0]"	6	12	4		
Afterimage_Matching	44	4	0	"[-12, 0]"	6	11	4		
Afterimage_Matching	45	1	0	"[-12, 0]"	6	10	1		
Afterimage_Matching	46	1	0	"[-12, 0]"	6	11	1		
Afterimage_Matching	47	1	1	"[-12, 0]"	8	12	3		
Afterimage_Matching	48	1	0	"[-12, 0]"	8	11	1		
Task_Type	Block_Number	Trial_Number	Trial_Condition	Afterimage_Present	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Onset	Afterimage_Offset
